C:\Users\scoti\PycharmProjects\ML_RAG\.venv\Scripts\python.exe C:\Users\scoti\PycharmProjects\ML_RAG\scripts\download_models.py
2026-01-07 01:52:31 | INFO | rag.chunking | Chunking doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0031 words=370 (chunk=400, overlap=80)
2026-01-07 01:52:31 | INFO | rag.chunking | Created 2 chunks for doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0031
2026-01-07 01:52:31 | INFO | rag.chunking | Chunking doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0032 words=203 (chunk=400, overlap=80)
2026-01-07 01:52:31 | INFO | rag.chunking | Created 1 chunks for doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0032
2026-01-07 01:52:31 | INFO | rag.chunking | Chunking doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0033 words=104 (chunk=400, overlap=80)
2026-01-07 01:52:31 | INFO | rag.chunking | Created 1 chunks for doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0033
2026-01-07 01:52:31 | INFO | rag.chunking | Chunking doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0034 words=201 (chunk=400, overlap=80)
2026-01-07 01:52:31 | INFO | rag.chunking | Created 1 chunks for doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0034
2026-01-07 01:52:31 | INFO | rag.chunking | Chunking doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0035 words=184 (chunk=400, overlap=80)
2026-01-07 01:52:31 | INFO | rag.chunking | Created 1 chunks for doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0035
2026-01-07 01:52:31 | INFO | rag.chunking | Chunking doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0036 words=341 (chunk=400, overlap=80)
2026-01-07 01:52:31 | INFO | rag.chunking | Created 2 chunks for doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0036
2026-01-07 01:52:31 | INFO | rag.chunking | Chunking doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0037 words=135 (chunk=400, overlap=80)
2026-01-07 01:52:31 | INFO | rag.chunking | Created 1 chunks for doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0037
2026-01-07 01:52:31 | INFO | rag.chunking | Chunking doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0038 words=190 (chunk=400, overlap=80)
2026-01-07 01:52:31 | INFO | rag.chunking | Created 1 chunks for doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0038
2026-01-07 01:52:31 | INFO | rag.chunking | Chunking doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0039 words=179 (chunk=400, overlap=80)
2026-01-07 01:52:31 | INFO | rag.chunking | Created 1 chunks for doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0039
2026-01-07 01:52:31 | INFO | rag.chunking | Chunking doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0040 words=172 (chunk=400, overlap=80)
2026-01-07 01:52:31 | INFO | rag.chunking | Created 1 chunks for doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0040
2026-01-07 01:52:31 | INFO | rag.chunking | Chunking doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0041 words=176 (chunk=400, overlap=80)
2026-01-07 01:52:31 | INFO | rag.chunking | Created 1 chunks for doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0041
2026-01-07 01:52:31 | INFO | rag.chunking | Chunking doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0042 words=393 (chunk=400, overlap=80)
2026-01-07 01:52:31 | INFO | rag.chunking | Created 2 chunks for doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0042
2026-01-07 01:52:31 | INFO | rag.chunking | Chunking doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0043 words=220 (chunk=400, overlap=80)
2026-01-07 01:52:31 | INFO | rag.chunking | Created 1 chunks for doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0043
2026-01-07 01:52:31 | INFO | rag.chunking | Chunking doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0044 words=367 (chunk=400, overlap=80)
2026-01-07 01:52:31 | INFO | rag.chunking | Created 2 chunks for doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0044
2026-01-07 01:52:31 | INFO | rag.chunking | Chunking doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0045 words=58 (chunk=400, overlap=80)
2026-01-07 01:52:31 | INFO | rag.chunking | Created 1 chunks for doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0045
2026-01-07 01:52:31 | INFO | rag.chunking | Chunking doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0046 words=221 (chunk=400, overlap=80)
2026-01-07 01:52:31 | INFO | rag.chunking | Created 1 chunks for doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0046
2026-01-07 01:52:31 | INFO | rag.chunking | Chunking doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0047 words=251 (chunk=400, overlap=80)
2026-01-07 01:52:31 | INFO | rag.chunking | Created 1 chunks for doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0047
2026-01-07 01:52:31 | INFO | rag.chunking | Chunking doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0048 words=312 (chunk=400, overlap=80)
2026-01-07 01:52:31 | INFO | rag.chunking | Created 1 chunks for doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0048
2026-01-07 01:52:31 | INFO | rag.chunking | Chunking doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0049 words=148 (chunk=400, overlap=80)
2026-01-07 01:52:31 | INFO | rag.chunking | Created 1 chunks for doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0049
2026-01-07 01:52:31 | INFO | rag.chunking | Chunking doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0050 words=157 (chunk=400, overlap=80)
2026-01-07 01:52:31 | INFO | rag.chunking | Created 1 chunks for doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0050
2026-01-07 01:52:31 | INFO | rag.chunking | Chunking doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0051 words=171 (chunk=400, overlap=80)
2026-01-07 01:52:31 | INFO | rag.chunking | Created 1 chunks for doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0051
2026-01-07 01:52:31 | INFO | rag.chunking | Chunking doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0052 words=125 (chunk=400, overlap=80)
2026-01-07 01:52:31 | INFO | rag.chunking | Created 1 chunks for doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0052
2026-01-07 01:52:31 | INFO | rag.chunking | Chunking doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0053 words=84 (chunk=400, overlap=80)
2026-01-07 01:52:31 | INFO | rag.chunking | Created 1 chunks for doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0053
2026-01-07 01:52:31 | INFO | rag.chunking | Chunking doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0054 words=200 (chunk=400, overlap=80)
2026-01-07 01:52:31 | INFO | rag.chunking | Created 1 chunks for doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0054
2026-01-07 01:52:31 | INFO | rag.chunking | Chunking doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0055 words=146 (chunk=400, overlap=80)
2026-01-07 01:52:31 | INFO | rag.chunking | Created 1 chunks for doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0055
2026-01-07 01:52:31 | INFO | rag.chunking | Chunking doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0056 words=212 (chunk=400, overlap=80)
2026-01-07 01:52:31 | INFO | rag.chunking | Created 1 chunks for doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0056
2026-01-07 01:52:31 | INFO | rag.chunking | Chunking doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0057 words=120 (chunk=400, overlap=80)
2026-01-07 01:52:31 | INFO | rag.chunking | Created 1 chunks for doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0057
2026-01-07 01:52:31 | INFO | rag.chunking | Chunking doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0058 words=143 (chunk=400, overlap=80)
2026-01-07 01:52:31 | INFO | rag.chunking | Created 1 chunks for doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0058
2026-01-07 01:52:31 | INFO | rag.chunking | Chunking doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0059 words=62 (chunk=400, overlap=80)
2026-01-07 01:52:31 | INFO | rag.chunking | Created 1 chunks for doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0059
2026-01-07 01:52:31 | INFO | rag.chunking | Chunking doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0060 words=203 (chunk=400, overlap=80)
2026-01-07 01:52:31 | INFO | rag.chunking | Created 1 chunks for doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0060
2026-01-07 01:52:31 | INFO | rag.chunking | Chunking doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0061 words=6 (chunk=400, overlap=80)
2026-01-07 01:52:31 | INFO | rag.chunking | Created 1 chunks for doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0061
2026-01-07 01:52:31 | INFO | rag.chunking | Chunking doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0062 words=283 (chunk=400, overlap=80)
2026-01-07 01:52:31 | INFO | rag.chunking | Created 1 chunks for doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0062
2026-01-07 01:52:31 | INFO | rag.chunking | Chunking doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0063 words=267 (chunk=400, overlap=80)
2026-01-07 01:52:31 | INFO | rag.chunking | Created 1 chunks for doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0063
2026-01-07 01:52:31 | INFO | rag.chunking | Chunking doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0064 words=228 (chunk=400, overlap=80)
2026-01-07 01:52:31 | INFO | rag.chunking | Created 1 chunks for doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0064
2026-01-07 01:52:31 | INFO | rag.chunking | Chunking doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0065 words=253 (chunk=400, overlap=80)
